un_number,name_zh,name_en,class_or_division,subsidiary_hazard,packing_group,special_provisions,limited_quantities,excepted_quantities,packing_instruction,special_packing_provisions,portable_tank_instruction,portable_tank_special_provisions
2754,N-乙基甲苯胺,N-ETHYLTOLUIDINES,6.1,-,Ⅱ,-,100 mL,E4,P001 IBC02,-,T7,TP2
2757,固态氨基甲酸酯农药， 毒性,"CARBAMATE PESTICIDE, SOLID, TOXIC",6.1,-,Ⅰ,61 274,0,E5,P002 IBC07,B1,T6,TP33
2757,固态氨基甲酸酯农药， 毒性,"CARBAMATE PESTICIDE, SOLID, TOXIC",6.1,-,Ⅱ,61 274,500 g,E4,P002 IBC08,"B2, B4",T3,TP33
2757,固态氨基甲酸酯农药， 毒性,"CARBAMATE PESTICIDE, SOLID, TOXIC",6.1,-,Ⅲ,61 223 274,5 kg,E1,P002 IBC08 LP02,B3,T1,TP33
2758,液态氨基甲酸酯农药，易 燃，毒性，闪点低于23℃,"CARBAMATE PESTICIDE, LIQUID, FLAMMABLE, TOXIC, flash point less than 23 ℃",3,6.1,Ⅰ,61 274,0,E0,P001,-,T14,TP2 TP13 TP27
2758,液态氨基甲酸酯农药，易 燃，毒性，闪点低于23℃,"CARBAMATE PESTICIDE, LIQUID, FLAMMABLE, TOXIC, flash point less than 23 ℃",3,6.1,Ⅱ,61 274,1 L,E2,P001 IBC02,-,T11,TP2 TP13 TP27
2759,固态含砷农药，毒性,"ARSENICAL PESTICIDE, SOLID, TOXIC",6.1,-,Ⅰ,61 274,0,E5,P002 IBC07,B1,T6,TP33
2759,固态含砷农药，毒性,"ARSENICAL PESTICIDE, SOLID, TOXIC",6.1,-,Ⅱ,⁶14,500 g,E4,P002 IBC08,"B2, B4",T3,TP33
2759,固态含砷农药，毒性,"ARSENICAL PESTICIDE, SOLID, TOXIC",6.1,-,Ⅲ,61 223 274,5 kg,E1,P002 IBC08 LP02,B3,T1,TP33
2760,液态含砷农药，易燃，毒 性，闪点低于23℃,"ARSENICAL PESTICIDE, LIQUID, FLAMMABLE, TOXIC, flash point less than 23℃",3,6.1,Ⅰ,61 274,0,E0,P001,-,T14,TP2 TP13 TP27
2760,液态含砷农药，易燃，毒 性，闪点低于23℃,"ARSENICAL PESTICIDE, LIQUID, FLAMMABLE, TOXIC, flash point less than 23℃",3,6.1,Ⅱ,61 274,1 L,E2,P001 IBC02,-,T11,TP2 TP13 TP27
2761,固态有机氯农药，毒性,"ORGANOCHLORINE PESTICIDE, SOLID, TOXIC",6.1,-,Ⅰ,61 274,0,E5,P002 IBC07,B1,T6,TP33
2761,固态有机氯农药，毒性,"ORGANOCHLORINE PESTICIDE, SOLID, TOXIC",6.1,-,Ⅱ,61 274,500 g,E4,P002 IBC08,"B2, B4",T3,TP33
2761,固态有机氯农药，毒性,"ORGANOCHLORINE PESTICIDE, SOLID, TOXIC",6.1,-,Ⅲ,61 223 274,5 kg,E1,P002 IBC08 LP02,B3,T1,TP33
2762,液态有机氯农药，易燃，毒 性，闪点低于23℃,"ORGANOCHLORINE PESTICIDE, LIQUID, FLAMMABLE, TOXIC, flash point less than 23℃",3,6.1,Ⅰ,61 274,0,E0,P001,-,T14,TP2 TP13 TP27
2762,液态有机氯农药，易燃，毒 性，闪点低于23℃,"ORGANOCHLORINE PESTICIDE, LIQUID, FLAMMABLE, TOXIC, flash point less than 23℃",3,6.1,Ⅱ,61 274,1 L,E2,P001 IBC02,-,T11,TP2 TP13 TP27
2763,固态三嗪农药，毒性,"TRIAZINE PESTICIDE, SOLID, TOXIC",6.1,-,Ⅰ,61 274,0,E5,P002 IBC07,B1,T6,TP33
2763,固态三嗪农药，毒性,"TRIAZINE PESTICIDE, SOLID, TOXIC",6.1,-,Ⅱ,61 274,500 g,E4,P002 IBC08,"B2, B4",T3,TP33
2763,固态三嗪农药，毒性,"TRIAZINE PESTICIDE, SOLID, TOXIC",6.1,-,Ⅲ,61 223 274,5 kg,E1,P002 IBC08,B3,T1,TP33
2764,液态三嗪农药，易燃，毒 性，闪点低于23℃,"TRIAZINE PESTICIDE, LIQUID, FLAMMABLE, TOXIC, flash point less than 23℃",3,6.1,Ⅰ,61 274,0,E0,P001,-,T14,TP2 TP13 TP27
2764,液态三嗪农药，易燃，毒 性，闪点低于23℃,"TRIAZINE PESTICIDE, LIQUID, FLAMMABLE, TOXIC, flash point less than 23℃",3,6.1,Ⅱ,61 274,1 L,E2,P001 IBC02,-,T11,TP2 TP13 TP27
2771,固态硫代氨基甲酸酯农 药，毒性,"THIOCARBAMATE PESTICIDE, SOLID, TOXIC",6.1,-,Ⅰ,61 274,0,E5,P002 IBC07,B1,T6,TP33
2771,固态硫代氨基甲酸酯农 药，毒性,"THIOCARBAMATE PESTICIDE, SOLID, TOXIC",6.1,-,Ⅱ,61 274,500 g,E4,P002 IBC08,"B2, B4",T3,TP33
2771,固态硫代氨基甲酸酯农 药，毒性,"THIOCARBAMATE PESTICIDE, SOLID, TOXIC",6.1,-,Ⅲ,61 223 274,5 kg,E1,P002 IBC08 LP02,B3,T1,TP33
2772,液态硫代氨基甲酸酯农 药，易燃，毒性，闪点低于 23℃,"THIOCARBAMATE PESTICIDE, LIQUID, FLAMMABLE, TOXIC, flash point less than 23℃",3,6.1,Ⅰ,61 274,0,E0,P001,-,T14,TP2 TP13 TP27
2772,液态硫代氨基甲酸酯农 药，易燃，毒性，闪点低于 23℃,"THIOCARBAMATE PESTICIDE, LIQUID, FLAMMABLE, TOXIC, flash point less than 23℃",3,6.1,Ⅱ,61 274,1 L,E2,P001 IBC02,-,T11,TP2 TP13 TP27
2775,固态铜基农药，毒性,"COPPER BASED PESTICIDE, SOLID, TOXIC",6.1,-,Ⅰ,61 274,0,E5,P002 IBC07,B1,T6,TP33
2775,固态铜基农药，毒性,"COPPER BASED PESTICIDE, SOLID, TOXIC",6.1,-,Ⅱ,61 274,500 g,E4,P002 IBC08,"B2, B4",T3,TP33
2775,固态铜基农药，毒性,"COPPER BASED PESTICIDE, SOLID, TOXIC",6.1,-,Ⅲ,61 223 274,5 kg,E1,P002 IBC08 LP02,B3,T1,TP33
2776,液态铜基农药，易燃，毒 性，闪点低于23℃,"COPPER BASED PESTICIDE, LIQUID, FLAMMABLE, TOXIC, flash point less than 23℃",3,6.1,Ⅰ,61 274,0,E0,P001,-,T14,TP2 TP13 TP27
2776,液态铜基农药，易燃，毒 性，闪点低于23℃,"COPPER BASED PESTICIDE, LIQUID, FLAMMABLE, TOXIC, flash point less than 23℃",3,6.1,Ⅱ,⁶1/274,1 L,E2,P001 IBC02,-,T11,TP2 TP13 TP27
2777,固态汞基农药，毒性,"MERCURY BASED PESTICIDE, SOLID, TOXIC",6.1,-,Ⅰ,61 274,0,E5,P002 IBC07,B1,T6,TP33
2777,固态汞基农药，毒性,"MERCURY BASED PESTICIDE, SOLID, TOXIC",6.1,-,Ⅱ,61 274,500 g,E4,P002 IBC08,"B2, B4",T3,TP33
2777,固态汞基农药，毒性,"MERCURY BASED PESTICIDE, SOLID, TOXIC",6.1,-,Ⅲ,61 223 274,5 kg,E1,P002 IBC08 LP02,B3,T1,TP33
2778,液态汞基农药，易燃，毒 性，闪点低于 23℃,"MERCURY BASED PESTICIDE, LIQUID, FLAMMABLE, TOXIC, flash point less than 23℃",3,6.1,Ⅰ,61 274,0,E0,P001,—,T14,TP2 TP13 TP27
2778,液态汞基农药，易燃，毒 性，闪点低于 23℃,"MERCURY BASED PESTICIDE, LIQUID, FLAMMABLE, TOXIC, flash point less than 23℃",3,6.1,Ⅱ,61 274,1 L,E2,P001 IBC02,—,T11,TP2 TP13 TP27
2779,固态取代硝基苯酚农药， 毒性,"SUBSTITUTED NITROPHENOL PESTICIDE, SOLID, TOXIC",6.1,—,Ⅰ,⁶1/24,0,E5,P002 IBC07,B1,T6,TP33
2779,固态取代硝基苯酚农药， 毒性,"SUBSTITUTED NITROPHENOL PESTICIDE, SOLID, TOXIC",6.1,—,Ⅱ,61 274,500 g,E4,P002 IBC08,"B2, B4",T3,TP33
2779,固态取代硝基苯酚农药， 毒性,"SUBSTITUTED NITROPHENOL PESTICIDE, SOLID, TOXIC",6.1,—,Ⅲ,61 223 274,5 kg,E1,P002 IBC08 LP02,B3,T1,TP33
2780,液态取代硝基苯酚农药， 易燃，毒性，闪点低于 23℃,"SUBSTITUTED NITROPHENOL PESTICIDE, LIQUID, FLAMMABLE, TOXIC, flash point less than 23 ℃",3,6.1,Ⅰ,61 274,0,E0,P001,-,T14,TP2 TP13 TP27
2780,液态取代硝基苯酚农药， 易燃，毒性，闪点低于 23℃,"SUBSTITUTED NITROPHENOL PESTICIDE, LIQUID, FLAMMABLE, TOXIC, flash point less than 23 ℃",3,6.1,Ⅱ,61 274,1 L,E2,P001 IBC02,-,T11,TP2 TP13 TP27
2781,固态联吡啶农药，毒性,"BIPYRIDILIUM PESTICIDE, SOLID, TOXIC",6.1,-,Ⅰ,61 274,0,E5,P002 IBC07,B1,T6,TP33
2781,固态联吡啶农药，毒性,"BIPYRIDILIUM PESTICIDE, SOLID, TOXIC",6.1,-,Ⅱ,61 274,500 g,E4,P002 IBC08,"B2, B4",T3,TP33
2781,固态联吡啶农药，毒性,"BIPYRIDILIUM PESTICIDE, SOLID, TOXIC",6.1,-,Ⅲ,61 223 274,5 kg,E1,P002 IBC08 LP02,B3,T1,TP33
2782,液态联吡啶农药，易燃，毒 性，闪点低于23℃,"BIPYRIDILIUM PESTICIDE, LIQUID, FLAMMABLE, TOXIC, flash point less than 23 ℃",3,6.1,Ⅰ,61 274,0,E0,P001,-,T14,TP2 TP13 TP27
2782,液态联吡啶农药，易燃，毒 性，闪点低于23℃,"BIPYRIDILIUM PESTICIDE, LIQUID, FLAMMABLE, TOXIC, flash point less than 23 ℃",3,6.1,Ⅱ,61 274,1 L,E2,P001 IBC02,-,T11,TP2 TP13 TP27
2783,固态有机磷农药，毒性,"ORGANOPHOSPHORUS PESTICIDE, SOLID, TOXIC",6.1,-,Ⅰ,61 274,0,E5,P002 IBC07,B1,T6,TP33
2783,固态有机磷农药，毒性,"ORGANOPHOSPHORUS PESTICIDE, SOLID, TOXIC",6.1,-,Ⅱ,61 274,500 g,E4,P002 IBC08,"B2, B4",T3,TP33
2783,固态有机磷农药，毒性,"ORGANOPHOSPHORUS PESTICIDE, SOLID, TOXIC",6.1,-,Ⅲ,61 223 274,5 kg,E1,P002 IBC08 LP02,B3,T1,TP33
2784,"液态有机磷农药，易燃，毒 性,闪点低于 23 ℃","ORGANOPHOSPHORUS PESTICIDE, LIQUID, FLAMMABLE, TOXIC, flash point less than 23 ℃",3,6.1,Ⅰ,61 274,0,E0,P001,-,T14,TP2 TP13 TP27
2784,"液态有机磷农药，易燃，毒 性,闪点低于 23 ℃","ORGANOPHOSPHORUS PESTICIDE, LIQUID, FLAMMABLE, TOXIC, flash point less than 23 ℃",3,6.1,Ⅱ,61 274,1 L,E2,P001 IBC02,-,T11,TP2 TP13 TP27
2785,4-硫杂戊醛,4-THIAPENTANAL,6.1,-,Ⅲ,-,5 L,E1,P001 IBC03 LP01,-,T4,TP1
2786,固态有机锡农药，毒性,"ORGANOTIN PESTICIDE, SOLID, TOXIC",6.1,-,Ⅰ,61 274,0,E5,P002 IBC07,B1,T6,TP33
2786,固态有机锡农药，毒性,"ORGANOTIN PESTICIDE, SOLID, TOXIC",6.1,-,Ⅱ,61 274,500 g,E4,P002 IBC08,"B2, B4",T3,TP33
2786,固态有机锡农药，毒性,"ORGANOTIN PESTICIDE, SOLID, TOXIC",6.1,-,Ⅲ,61 223 274,5 kg,E1,P002 IBC08 LP02,B3,T1,TP33
2787,液态有机锡农药，易燃，毒 性，闪点低于23 ℃,"ORGANOTIN PESTICIDE, LIQUID, FLAMMABLE, TOXIC, flash point less than 23 ℃",3,6.1,Ⅰ,61 274,0,E0,P001,-,T14,TP2 TP13 TP27
2787,液态有机锡农药，易燃，毒 性，闪点低于23 ℃,"ORGANOTIN PESTICIDE, LIQUID, FLAMMABLE, TOXIC, flash point less than 23 ℃",3,6.1,Ⅱ,61 274,1 L,E2,P001 IBC02,-,T11,TP2 TP13 TP27
2788,液态有机锡化合物，未另 作规定的,"ORGANOTIN COMPOUND, LIQUID, N. O. S.",6.1,-,Ⅰ,43 274,0,E5,P001,-,T14,TP2 TP13 TP27
2788,液态有机锡化合物，未另 作规定的,"ORGANOTIN COMPOUND, LIQUID, N. O. S.",6.1,-,Ⅱ,43 274,100 mL,E4,P001 IBC02,-,T11,TP2 TP13 TP27
2788,液态有机锡化合物，未另 作规定的,"ORGANOTIN COMPOUND, LIQUID, N. O. S.",6.1,-,Ⅲ,43 223 274,5 L,E1,P001 IBC03 LP01,-,T7,TP2 TP28
2789,冰醋酸或乙酸溶液，按质 量含酸高于 80%,"ACETIC ACID, GLACIAL or ACETIC ACID SOLUTION, more than 80% acid, by mass",8,3,Ⅱ,-,1 L,E2,P001 IBC02,-,T7,TP2
2790,"乙酸溶液，按质量含酸不 低于50%,但不超过80%","ACETIC ACID SOLUTION, not less than 50% but not more than 80% acid, by mass",8,-,Ⅱ,-,1 L,E2,P001 IBC02,-,T7,TP2
2790,"乙酸溶液，按质量含酸不 低于10%,但不超过50%","ACETIC ACID SOLUTION, more than 10% and less than 50% acid, by mass",8,-,Ⅲ,-,5 L,E1,P001 IBC03 LP01,-,T4,TP1
2793,黑色金属的镗屑、刨屑、旋 屑、切屑，易自热,"FERROUS METAL BORINGS, SHAVINGS, TURNINGS or CUTTINGS in a form liable to selfheating",4.2,-,Ⅲ,223,0,E1,P003 IBC08 LP02,"PP20 B3, B6",BK2,-
2794,蓄电电池，湿的，装有酸液,"BATTERIES, WET, FILLED WITH ACID, electric storage",8,-,-,295,1 L,E0,P801,-,-,-
2795,蓄电电池，湿的，装有碱液,"BATTERIES, WET, FILLED WITH ALKALI, electric storage",8,-,-,295 401,1 L,E0,P801,-,-,-
2796,硫酸，含酸不超过51%或 酸性电池液,"SULPHURIC ACID with not more than 51% acid or BATTERYFLUID, ACID",8,-,Ⅱ,-,1 L,E2,P001 IBC02,-,T8,TP2
2797,碱性电池液,"BATTERY FLUID, ALKALI",8,-,Ⅱ,-,1 L,E2,P001 IBC02,-,T7,TP2 TP28
2798,苯基二氯化磷,PHENYLPHOSPHORUS DICHLORIDE,8,-,Ⅱ,-,1 L,E0,P001 IBC02,-,T7,TP2 TP28
2799,苯基硫代磷酰二氯,PHENYLPHOSPHORUS THIODICHLORIDE,8,-,Ⅱ,-,1 L,E0,P001 IBC02,-,T7,TP2
2800,蓄电电池，湿的，不溢出的,"BATTERIES, WET, NON-SPILLABLE, electric storage",8,-,-,238,1 L,E0,P003,PP16,-,-
2801,液态染料，腐蚀性，未另作 规定的或液态染料中间 体，腐蚀性，未另作规定的,"DYE, LIQUID, CORROSIVE, N. O. S. or DYE INTERMEDIATE, LIQUID, CORROSIVE, N. O. S.",8,-,Ⅰ,274,0,E0,P001,-,T14,TP2 TP27
2801,液态染料，腐蚀性，未另作 规定的或液态染料中间 体，腐蚀性，未另作规定的,"DYE, LIQUID, CORROSIVE, N. O. S. or DYE INTERMEDIATE, LIQUID, CORROSIVE, N. O. S.",8,-,Ⅱ,274,1 L,E2,P001 IBC02,-,T11,TP2 TP27
